Estacao;Data;Hora;Velocidade do Vento Media;
83726;11/09/2007;0000;2.366667;
83726;12/09/2007;0000;2.333333;
83726;13/09/2007;0000;2.333333;
83726;14/09/2007;0000;2.033333;
83726;15/09/2007;0000;1.5;
83726;16/09/2007;0000;1.6;
83726;17/09/2007;0000;4.733333;
83726;18/09/2007;0000;3.433333;
83726;19/09/2007;0000;2.066667;
83726;20/09/2007;0000;2.266667;
83726;21/09/2007;0000;2.766667;
83726;22/09/2007;0000;3.233333;
83726;23/09/2007;0000;2.533333;
83726;24/09/2007;0000;2.366667;
83726;25/09/2007;0000;5.3;
83726;26/09/2007;0000;4.233333;
83726;27/09/2007;0000;3.2;
83726;28/09/2007;0000;2.033333;
83726;29/09/2007;0000;3.666667;
83726;30/09/2007;0000;3.733333;
83726;01/10/2007;0000;2.833333;
83726;02/10/2007;0000;2.3;
83726;03/10/2007;0000;2.066667;
83726;04/10/2007;0000;1.2;
83726;05/10/2007;0000;1.3;
83726;06/10/2007;0000;1.4;
83726;07/10/2007;0000;0.433333;
83726;08/10/2007;0000;2.6;
83726;09/10/2007;0000;3.133333;
83726;10/10/2007;0000;2.466667;
83726;11/10/2007;0000;2.2;
83726;12/10/2007;0000;2.733333;
83726;13/10/2007;0000;1.2;
83726;14/10/2007;0000;3.7;
83726;15/10/2007;0000;3.8;
83726;16/10/2007;0000;3.6;
83726;17/10/2007;0000;2.966667;
83726;18/10/2007;0000;1.933333;
83726;19/10/2007;0000;1.866667;
83726;20/10/2007;0000;2.433333;
83726;21/10/2007;0000;3.533333;
83726;22/10/2007;0000;1.9;
83726;23/10/2007;0000;2.133333;
83726;24/10/2007;0000;1.833333;
83726;25/10/2007;0000;1.466667;
83726;26/10/2007;0000;0.966667;
83726;27/10/2007;0000;1.233333;
83726;28/10/2007;0000;2.066667;
83726;29/10/2007;0000;1.433333;
83726;30/10/2007;0000;1.666667;
83726;31/10/2007;0000;2.333333;
83726;01/11/2007;0000;4;
83726;02/11/2007;0000;1.666667;
83726;03/11/2007;0000;1.333333;
83726;04/11/2007;0000;1;
83726;05/11/2007;0000;2.6;
83726;06/11/2007;0000;2;
83726;07/11/2007;0000;1.6;
83726;08/11/2007;0000;2.266667;
83726;09/11/2007;0000;3.733333;
83726;10/11/2007;0000;2.933333;
83726;11/11/2007;0000;0.933333;
83726;12/11/2007;0000;4.333333;
83726;13/11/2007;0000;4.866667;
83726;14/11/2007;0000;5.133333;
83726;15/11/2007;0000;4;
83726;16/11/2007;0000;4.333333;
83726;17/11/2007;0000;5.333333;
83726;18/11/2007;0000;3;
83726;19/11/2007;0000;1.533333;
83726;20/11/2007;0000;2.1;
83726;21/11/2007;0000;3.4;
83726;22/11/2007;0000;3.066667;
83726;23/11/2007;0000;1.333333;
83726;24/11/2007;0000;1.666667;
83726;25/11/2007;0000;2.333333;
83726;26/11/2007;0000;2.333333;
83726;27/11/2007;0000;5.666667;
83726;28/11/2007;0000;5;
83726;29/11/2007;0000;3.666667;
83726;30/11/2007;0000;3.666667;
83726;01/12/2007;0000;3;
83726;02/12/2007;0000;2.333333;
83726;03/12/2007;0000;1.666667;
83726;04/12/2007;0000;1.666667;
83726;05/12/2007;0000;0.666667;
83726;06/12/2007;0000;2.666667;
83726;07/12/2007;0000;1.333333;
83726;08/12/2007;0000;0.666667;
83726;09/12/2007;0000;1.666667;
83726;10/12/2007;0000;4.666667;
83726;11/12/2007;0000;2.333333;
83726;12/12/2007;0000;5;
83726;13/12/2007;0000;5.666667;
83726;14/12/2007;0000;3.666667;
83726;15/12/2007;0000;3.666667;
83726;16/12/2007;0000;5;
83726;17/12/2007;0000;2.4;
83726;18/12/2007;0000;1.866667;
83726;19/12/2007;0000;2;
83726;20/12/2007;0000;0.666667;
83726;21/12/2007;0000;1.133333;
83726;22/12/2007;0000;0.4;
83726;23/12/2007;0000;1.8;
83726;24/12/2007;0000;0.933333;
83726;25/12/2007;0000;1.933333;
83726;26/12/2007;0000;1.666667;
83726;27/12/2007;0000;1.666667;
83726;28/12/2007;0000;1.333333;
83726;29/12/2007;0000;1.666667;
83726;30/12/2007;0000;1.666667;
83726;31/12/2007;0000;2;
83726;01/01/2008;0000;1.333333;
83726;02/01/2008;0000;1.666667;
83726;03/01/2008;0000;1.666667;
83726;04/01/2008;0000;2.333333;
83726;05/01/2008;0000;1.666667;
83726;06/01/2008;0000;1.666667;
83726;07/01/2008;0000;1.666667;
83726;08/01/2008;0000;0.666667;
83726;09/01/2008;0000;1.333333;
83726;10/01/2008;0000;1.666667;
83726;11/01/2008;0000;2;
83726;12/01/2008;0000;1.666667;
83726;13/01/2008;0000;1;
83726;14/01/2008;0000;1.666667;
83726;15/01/2008;0000;2.666667;
83726;16/01/2008;0000;3;
83726;17/01/2008;0000;1.333333;
83726;18/01/2008;0000;2;
83726;19/01/2008;0000;3;
83726;20/01/2008;0000;1;
83726;21/01/2008;0000;3;
83726;22/01/2008;0000;3.666667;
83726;23/01/2008;0000;4.333333;
83726;24/01/2008;0000;3.666667;
83726;25/01/2008;0000;3;
83726;26/01/2008;0000;5.666667;
83726;27/01/2008;0000;3.666667;
83726;28/01/2008;0000;3;
83726;29/01/2008;0000;2;
83726;30/01/2008;0000;1.333333;
83726;31/01/2008;0000;0.666667;
83726;01/02/2008;0000;1;
83726;02/02/2008;0000;1;
83726;03/02/2008;0000;1.666667;
83726;04/02/2008;0000;1.666667;
83726;05/02/2008;0000;1;
83726;06/02/2008;0000;2.333333;
83726;07/02/2008;0000;3;
83726;08/02/2008;0000;1.666667;
83726;09/02/2008;0000;1.666667;
83726;10/02/2008;0000;2.333333;
83726;11/02/2008;0000;4.333333;
83726;12/02/2008;0000;1.666667;
83726;13/02/2008;0000;2.333333;
83726;14/02/2008;0000;4.333333;
83726;15/02/2008;0000;3;
83726;16/02/2008;0000;4;
83726;17/02/2008;0000;3;
83726;18/02/2008;0000;1;
83726;19/02/2008;0000;0;
83726;20/02/2008;0000;0.666667;
83726;21/02/2008;0000;0.666667;
83726;22/02/2008;0000;1;
83726;23/02/2008;0000;1.333333;
83726;24/02/2008;0000;1;
83726;25/02/2008;0000;4;
83726;26/02/2008;0000;2.333333;
83726;27/02/2008;0000;2.333333;
83726;28/02/2008;0000;3;
83726;29/02/2008;0000;3;
83726;01/03/2008;0000;1.666667;
83726;02/03/2008;0000;1.666667;
83726;03/03/2008;0000;1.333333;
83726;04/03/2008;0000;1.666667;
83726;05/03/2008;0000;2.666667;
83726;06/03/2008;0000;1;
83726;07/03/2008;0000;1.333333;
83726;08/03/2008;0000;2.333333;
83726;09/03/2008;0000;1.333333;
83726;10/03/2008;0000;1.666667;
83726;11/03/2008;0000;0.666667;
83726;12/03/2008;0000;1.333333;
83726;13/03/2008;0000;2;
83726;14/03/2008;0000;3.333333;
83726;15/03/2008;0000;2.333333;
83726;16/03/2008;0000;2;
83726;17/03/2008;0000;2.333333;
83726;18/03/2008;0000;0.666667;
83726;19/03/2008;0000;3.666667;
83726;20/03/2008;0000;1.666667;
83726;21/03/2008;0000;1.666667;
83726;22/03/2008;0000;1;
83726;23/03/2008;0000;1;
83726;24/03/2008;0000;2.333333;
83726;25/03/2008;0000;3.666667;
83726;26/03/2008;0000;3;
83726;27/03/2008;0000;1.666667;
83726;28/03/2008;0000;1;
83726;29/03/2008;0000;3.666667;
83726;30/03/2008;0000;3.666667;
83726;31/03/2008;0000;3;
83726;01/04/2008;0000;1.666667;
83726;02/04/2008;0000;3;
83726;03/04/2008;0000;2.333333;
83726;04/04/2008;0000;2.333333;
83726;05/04/2008;0000;3;
83726;06/04/2008;0000;3;
83726;07/04/2008;0000;1;
83726;08/04/2008;0000;1;
83726;09/04/2008;0000;1;
83726;10/04/2008;0000;1.666667;
83726;11/04/2008;0000;1;
83726;12/04/2008;0000;1.666667;
83726;13/04/2008;0000;1.666667;
83726;14/04/2008;0000;1.666667;
83726;15/04/2008;0000;4.333333;
83726;16/04/2008;0000;3;
83726;17/04/2008;0000;1.666667;
83726;18/04/2008;0000;3.666667;
83726;19/04/2008;0000;2.333333;
83726;20/04/2008;0000;2.333333;
83726;21/04/2008;0000;1.666667;
83726;22/04/2008;0000;1.666667;
83726;23/04/2008;0000;1.666667;
83726;24/04/2008;0000;1.666667;
83726;25/04/2008;0000;1;
83726;26/04/2008;0000;0.666667;
83726;27/04/2008;0000;1;
83726;28/04/2008;0000;2.333333;
83726;29/04/2008;0000;4.333333;
83726;30/04/2008;0000;5;
83726;01/05/2008;0000;3;
83726;02/05/2008;0000;1.666667;
83726;03/05/2008;0000;5;
83726;04/05/2008;0000;1.666667;
83726;05/05/2008;0000;1.333333;
83726;06/05/2008;0000;1;
83726;07/05/2008;0000;1;
83726;08/05/2008;0000;1;
83726;09/05/2008;0000;2.433333;
83726;10/05/2008;0000;1.666667;
83726;11/05/2008;0000;1.666667;
83726;12/05/2008;0000;2.333333;
83726;13/05/2008;0000;2.333333;
83726;14/05/2008;0000;2.333333;
83726;15/05/2008;0000;2.333333;
83726;16/05/2008;0000;1;
83726;17/05/2008;0000;1.666667;
83726;18/05/2008;0000;2;
83726;19/05/2008;0000;1;
83726;20/05/2008;0000;1;
83726;21/05/2008;0000;2.333333;
83726;22/05/2008;0000;1.666667;
83726;23/05/2008;0000;1.666667;
83726;24/05/2008;0000;3;
83726;25/05/2008;0000;0.666667;
83726;26/05/2008;0000;1;
83726;27/05/2008;0000;1;
83726;28/05/2008;0000;1.333333;
83726;29/05/2008;0000;1;
83726;30/05/2008;0000;1.666667;
83726;31/05/2008;0000;1.666667;
83726;01/06/2008;0000;2;
83726;02/06/2008;0000;1;
83726;03/06/2008;0000;2.333333;
83726;04/06/2008;0000;1.666667;
83726;05/06/2008;0000;1.666667;
83726;06/06/2008;0000;1;
83726;07/06/2008;0000;1;
83726;08/06/2008;0000;1.666667;
83726;09/06/2008;0000;3;
83726;10/06/2008;0000;2.666667;
83726;11/06/2008;0000;2;
83726;12/06/2008;0000;1.666667;
83726;13/06/2008;0000;2;
83726;14/06/2008;0000;2.333333;
83726;15/06/2008;0000;2;
83726;16/06/2008;0000;1.666667;
83726;17/06/2008;0000;0.666667;
83726;18/06/2008;0000;0.666667;
83726;19/06/2008;0000;1;
83726;20/06/2008;0000;1;
83726;21/06/2008;0000;1.666667;
83726;22/06/2008;0000;0.333333;
83726;23/06/2008;0000;1.333333;
83726;24/06/2008;0000;1.666667;
83726;25/06/2008;0000;3;
83726;26/06/2008;0000;2.333333;
83726;27/06/2008;0000;2;
83726;28/06/2008;0000;2.333333;
83726;29/06/2008;0000;1.666667;
83726;30/06/2008;0000;2;
83726;01/07/2008;0000;2.333333;
83726;02/07/2008;0000;2.333333;
83726;03/07/2008;0000;1;
83726;04/07/2008;0000;2.333333;
83726;05/07/2008;0000;1;
83726;06/07/2008;0000;3.666667;
83726;07/07/2008;0000;2.666667;
83726;08/07/2008;0000;1.333333;
83726;09/07/2008;0000;1;
83726;10/07/2008;0000;1.666667;
83726;11/07/2008;0000;2;
83726;12/07/2008;0000;2;
83726;13/07/2008;0000;1.333333;
83726;14/07/2008;0000;1.333333;
83726;15/07/2008;0000;1.666667;
83726;16/07/2008;0000;2.666667;
83726;17/07/2008;0000;2.333333;
83726;18/07/2008;0000;1.333333;
83726;19/07/2008;0000;1;
83726;20/07/2008;0000;1;
83726;21/07/2008;0000;2.666667;
83726;22/07/2008;0000;3;
83726;23/07/2008;0000;3;
83726;24/07/2008;0000;3;
83726;25/07/2008;0000;1.666667;
83726;26/07/2008;0000;3.666667;
83726;27/07/2008;0000;3.666667;
83726;28/07/2008;0000;1.333333;
83726;29/07/2008;0000;1;
83726;30/07/2008;0000;1.333333;
83726;31/07/2008;0000;2;
83726;01/08/2008;0000;2;
83726;02/08/2008;0000;1;
83726;03/08/2008;0000;1.333333;
83726;04/08/2008;0000;1.666667;
83726;05/08/2008;0000;1.666667;
83726;06/08/2008;0000;1.333333;
83726;07/08/2008;0000;4;
83726;08/08/2008;0000;1.666667;
83726;09/08/2008;0000;2.666667;
83726;10/08/2008;0000;3;
83726;11/08/2008;0000;3.333333;
83726;12/08/2008;0000;2.333333;
83726;13/08/2008;0000;1.666667;
83726;14/08/2008;0000;4.333333;
83726;15/08/2008;0000;2;
83726;16/08/2008;0000;3;
83726;17/08/2008;0000;2.333333;
83726;18/08/2008;0000;1;
83726;19/08/2008;0000;1;
83726;20/08/2008;0000;1;
83726;21/08/2008;0000;0.666667;
83726;22/08/2008;0000;1.333333;
83726;23/08/2008;0000;2.333333;
83726;24/08/2008;0000;1.666667;
83726;25/08/2008;0000;1;
83726;26/08/2008;0000;1;
83726;27/08/2008;0000;1.666667;
83726;28/08/2008;0000;2.333333;
83726;29/08/2008;0000;2.666667;
83726;30/08/2008;0000;5;
83726;31/08/2008;0000;3.666667;
83726;01/09/2008;0000;3;
83726;02/09/2008;0000;1.666667;
83726;03/09/2008;0000;1.666667;
83726;04/09/2008;0000;1.333333;
83726;05/09/2008;0000;3;
83726;06/09/2008;0000;2.333333;
83726;07/09/2008;0000;0;
83726;08/09/2008;0000;0.666667;
83726;09/09/2008;0000;3.333333;
83726;10/09/2008;0000;2;
83726;11/09/2008;0000;2;
83726;12/09/2008;0000;2.666667;
83726;13/09/2008;0000;0.666667;
83726;14/09/2008;0000;0.666667;
83726;15/09/2008;0000;3.333333;
83726;16/09/2008;0000;2.333333;
83726;17/09/2008;0000;3.666667;
83726;18/09/2008;0000;5;
83726;19/09/2008;0000;3.666667;
83726;20/09/2008;0000;2.666667;
83726;21/09/2008;0000;3;
83726;22/09/2008;0000;2;
83726;23/09/2008;0000;2.666667;
83726;24/09/2008;0000;7;
83726;25/09/2008;0000;5;
83726;26/09/2008;0000;3.666667;
83726;27/09/2008;0000;3.666667;
83726;28/09/2008;0000;2.333333;
83726;29/09/2008;0000;1.333333;
83726;30/09/2008;0000;1.333333;
83726;01/10/2008;0000;1.333333;
83726;02/10/2008;0000;1.333333;
83726;03/10/2008;0000;0.666667;
83726;04/10/2008;0000;1;
83726;05/10/2008;0000;1.333333;
83726;06/10/2008;0000;2;
83726;07/10/2008;0000;3;
83726;08/10/2008;0000;7.333333;
83726;09/10/2008;0000;4.333333;
83726;10/10/2008;0000;3.333333;
83726;11/10/2008;0000;3;
83726;12/10/2008;0000;3;
83726;13/10/2008;0000;0.333333;
83726;14/10/2008;0000;0.666667;
83726;15/10/2008;0000;1;
83726;16/10/2008;0000;1;
83726;17/10/2008;0000;1.666667;
83726;18/10/2008;0000;0.666667;
83726;19/10/2008;0000;2.333333;
83726;20/10/2008;0000;3.333333;
83726;21/10/2008;0000;3;
83726;22/10/2008;0000;2.333333;
83726;23/10/2008;0000;2.666667;
83726;24/10/2008;0000;1.666667;
83726;25/10/2008;0000;2.333333;
83726;26/10/2008;0000;3.666667;
83726;27/10/2008;0000;0.333333;
83726;28/10/2008;0000;1.666667;
83726;29/10/2008;0000;2;
83726;30/10/2008;0000;1;
83726;31/10/2008;0000;1.666667;
83726;01/11/2008;0000;1.333333;
83726;02/11/2008;0000;2.333333;
83726;03/11/2008;0000;1;
83726;04/11/2008;0000;1.666667;
83726;05/11/2008;0000;1;
83726;06/11/2008;0000;3.5;
83726;07/11/2008;0000;1.666667;
83726;08/11/2008;0000;2;
83726;09/11/2008;0000;1.666667;
83726;10/11/2008;0000;3;
83726;11/11/2008;0000;3;
83726;12/11/2008;0000;4.333333;
83726;13/11/2008;0000;1.666667;
83726;14/11/2008;0000;2.333333;
83726;15/11/2008;0000;0.666667;
83726;16/11/2008;0000;3.666667;
83726;17/11/2008;0000;2.666667;
83726;18/11/2008;0000;2.666667;
83726;19/11/2008;0000;3;
83726;20/11/2008;0000;2.666667;
83726;21/11/2008;0000;1.666667;
83726;22/11/2008;0000;1.333333;
83726;23/11/2008;0000;2;
83726;24/11/2008;0000;2.333333;
83726;25/11/2008;0000;3;
83726;26/11/2008;0000;2.705173;
83726;27/11/2008;0000;2;
83726;28/11/2008;0000;2.333333;
83726;29/11/2008;0000;2.333333;
83726;30/11/2008;0000;2.333333;
83726;01/12/2008;0000;1;
83726;02/12/2008;0000;1.333333;
83726;03/12/2008;0000;2.666667;
83726;04/12/2008;0000;1;
83726;05/12/2008;0000;2.333333;
83726;06/12/2008;0000;1.666667;
83726;07/12/2008;0000;2;
83726;08/12/2008;0000;0.666667;
83726;09/12/2008;0000;0.666667;
83726;10/12/2008;0000;3.333333;
83726;11/12/2008;0000;0.333333;
83726;12/12/2008;0000;2.666667;
83726;13/12/2008;0000;1.333333;
83726;14/12/2008;0000;1;
83726;15/12/2008;0000;1.333333;
83726;16/12/2008;0000;1.666667;
83726;17/12/2008;0000;1.666667;
83726;18/12/2008;0000;1.666667;
83726;19/12/2008;0000;1.666667;
83726;20/12/2008;0000;2.333333;
83726;21/12/2008;0000;2;
83726;22/12/2008;0000;1;
83726;23/12/2008;0000;2.333333;
83726;24/12/2008;0000;2.333333;
83726;25/12/2008;0000;3;
83726;26/12/2008;0000;2;
83726;27/12/2008;0000;2.333333;
83726;28/12/2008;0000;2.333333;
83726;29/12/2008;0000;0.666667;
83726;30/12/2008;0000;1;
83726;31/12/2008;0000;2;
83726;01/01/2009;0000;0.666667;
83726;02/01/2009;0000;1;
83726;03/01/2009;0000;2;
83726;04/01/2009;0000;1;
83726;05/01/2009;0000;1.666667;
83726;06/01/2009;0000;1.666667;
83726;07/01/2009;0000;1.666667;
83726;08/01/2009;0000;1.666667;
83726;09/01/2009;0000;1.333333;
83726;10/01/2009;0000;1.666667;
83726;11/01/2009;0000;0.7;
83726;12/01/2009;0000;1;
83726;13/01/2009;0000;1;
83726;14/01/2009;0000;1.666667;
83726;15/01/2009;0000;1;
83726;16/01/2009;0000;1;
83726;17/01/2009;0000;2.333333;
83726;18/01/2009;0000;2.666667;
83726;19/01/2009;0000;0.333333;
83726;20/01/2009;0000;1.666667;
83726;21/01/2009;0000;2.666667;
83726;22/01/2009;0000;2;
83726;23/01/2009;0000;3;
83726;24/01/2009;0000;3;
83726;25/01/2009;0000;0.333333;
83726;26/01/2009;0000;1.666667;
83726;27/01/2009;0000;1;
83726;28/01/2009;0000;1.666667;
83726;29/01/2009;0000;0.666667;
83726;30/01/2009;0000;1.666667;
83726;31/01/2009;0000;1.666667;
83726;01/02/2009;0000;1;
83726;02/02/2009;0000;1.666667;
83726;03/02/2009;0000;2.333333;
83726;04/02/2009;0000;3.333333;
83726;05/02/2009;0000;1;
83726;06/02/2009;0000;1.333333;
83726;07/02/2009;0000;2.666667;
83726;08/02/2009;0000;1.333333;
83726;09/02/2009;0000;0.666667;
83726;10/02/2009;0000;0.333333;
83726;11/02/2009;0000;1;
83726;12/02/2009;0000;1;
83726;13/02/2009;0000;0.666667;
83726;14/02/2009;0000;1;
83726;15/02/2009;0000;1;
83726;16/02/2009;0000;1.333333;
83726;17/02/2009;0000;1.666667;
83726;18/02/2009;0000;1.666667;
83726;19/02/2009;0000;2.333333;
83726;20/02/2009;0000;1.333333;
83726;21/02/2009;0000;0.666667;
83726;22/02/2009;0000;0.666667;
83726;23/02/2009;0000;1.666667;
83726;24/02/2009;0000;1;
83726;25/02/2009;0000;2.333333;
83726;26/02/2009;0000;0.966667;
83726;27/02/2009;0000;1.666667;
83726;28/02/2009;0000;1.666667;
83726;01/03/2009;0000;1.666667;
83726;02/03/2009;0000;1.333333;
83726;03/03/2009;0000;0.666667;
83726;04/03/2009;0000;0.666667;
83726;05/03/2009;0000;0.333333;
83726;06/03/2009;0000;0.333333;
83726;07/03/2009;0000;3;
83726;08/03/2009;0000;1.333333;
83726;09/03/2009;0000;1.666667;
83726;10/03/2009;0000;1;
83726;11/03/2009;0000;0.666667;
83726;12/03/2009;0000;0.666667;
83726;13/03/2009;0000;0.666667;
83726;14/03/2009;0000;0.666667;
83726;15/03/2009;0000;0.666667;
83726;16/03/2009;0000;1.666667;
83726;17/03/2009;0000;1.333333;
83726;18/03/2009;0000;1.666667;
83726;19/03/2009;0000;1.333333;
83726;20/03/2009;0000;0.666667;
83726;21/03/2009;0000;5.333333;
83726;22/03/2009;0000;0.666667;
83726;23/03/2009;0000;0.666667;
83726;24/03/2009;0000;1;
83726;25/03/2009;0000;2.333333;
83726;26/03/2009;0000;2.333333;
83726;27/03/2009;0000;2;
83726;28/03/2009;0000;0.333333;
83726;29/03/2009;0000;0;
83726;30/03/2009;0000;0.333333;
83726;31/03/2009;0000;1;
83726;01/04/2009;0000;1.333333;
83726;02/04/2009;0000;1.333333;
83726;03/04/2009;0000;1.333333;
83726;04/04/2009;0000;1;
83726;05/04/2009;0000;0.333333;
83726;06/04/2009;0000;1.666667;
83726;07/04/2009;0000;0.666667;
83726;08/04/2009;0000;1;
83726;09/04/2009;0000;0.666667;
83726;10/04/2009;0000;0.333333;
83726;11/04/2009;0000;1.666667;
83726;12/04/2009;0000;1.666667;
83726;13/04/2009;0000;1.333333;
83726;14/04/2009;0000;0.666667;
83726;15/04/2009;0000;3.666667;
83726;16/04/2009;0000;1;
83726;17/04/2009;0000;1;
83726;18/04/2009;0000;1.333333;
83726;19/04/2009;0000;0.333333;
83726;20/04/2009;0000;1;
83726;21/04/2009;0000;1.666667;
83726;22/04/2009;0000;2.333333;
83726;23/04/2009;0000;1.666667;
83726;24/04/2009;0000;1;
83726;25/04/2009;0000;1;
83726;26/04/2009;0000;0.666667;
83726;27/04/2009;0000;1.666667;
83726;28/04/2009;0000;1.666667;
83726;29/04/2009;0000;1.333333;
83726;30/04/2009;0000;1.666667;
83726;01/05/2009;0000;2;
83726;02/05/2009;0000;1.333333;
83726;03/05/2009;0000;1.666667;
83726;04/05/2009;0000;1.666667;
83726;05/05/2009;0000;1;
83726;06/05/2009;0000;1;
83726;07/05/2009;0000;0.333333;
83726;08/05/2009;0000;0.666667;
83726;09/05/2009;0000;0.666667;
83726;10/05/2009;0000;0.666667;
83726;11/05/2009;0000;1;
83726;12/05/2009;0000;0.666667;
83726;13/05/2009;0000;1;
83726;14/05/2009;0000;2.333333;
83726;15/05/2009;0000;2.333333;
83726;16/05/2009;0000;1;
83726;17/05/2009;0000;1;
83726;18/05/2009;0000;1.666667;
83726;19/05/2009;0000;2.333333;
83726;20/05/2009;0000;3;
83726;21/05/2009;0000;1.666667;
83726;22/05/2009;0000;1;
83726;23/05/2009;0000;1.666667;
83726;24/05/2009;0000;1;
83726;25/05/2009;0000;0.666667;
83726;26/05/2009;0000;0.666667;
83726;27/05/2009;0000;0.333333;
83726;28/05/2009;0000;1.666667;
83726;29/05/2009;0000;1.333333;
83726;30/05/2009;0000;2.333333;
83726;31/05/2009;0000;1;
83726;01/06/2009;0000;1.333333;
83726;02/06/2009;0000;2;
83726;03/06/2009;0000;0.666667;
83726;04/06/2009;0000;2.333333;
83726;05/06/2009;0000;2.333333;
83726;06/06/2009;0000;0.666667;
83726;07/06/2009;0000;2.333333;
83726;08/06/2009;0000;1.333333;
83726;09/06/2009;0000;1;
83726;10/06/2009;0000;1;
83726;11/06/2009;0000;0;
83726;12/06/2009;0000;0.666667;
83726;13/06/2009;0000;1;
83726;14/06/2009;0000;1;
83726;15/06/2009;0000;0.333333;
83726;16/06/2009;0000;1.333333;
83726;17/06/2009;0000;0.666667;
83726;18/06/2009;0000;0.666667;
83726;19/06/2009;0000;0.333333;
83726;20/06/2009;0000;0.333333;
83726;21/06/2009;0000;1.666667;
83726;22/06/2009;0000;0.333333;
83726;23/06/2009;0000;1.666667;
83726;24/06/2009;0000;1;
83726;25/06/2009;0000;1;
83726;26/06/2009;0000;0.666667;
83726;27/06/2009;0000;2;
83726;28/06/2009;0000;1;
83726;29/06/2009;0000;0.666667;
83726;30/06/2009;0000;1.666667;
83726;01/07/2009;0000;0.333333;
83726;02/07/2009;0000;2;
83726;03/07/2009;0000;0.666667;
83726;04/07/2009;0000;1.666667;
83726;05/07/2009;0000;3;
83726;06/07/2009;0000;0.333333;
83726;07/07/2009;0000;0.666667;
83726;08/07/2009;0000;1;
83726;09/07/2009;0000;1.333333;
83726;10/07/2009;0000;1;
83726;11/07/2009;0000;2;
83726;12/07/2009;0000;0.666667;
83726;13/07/2009;0000;0.666667;
83726;14/07/2009;0000;1;
83726;15/07/2009;0000;1.666667;
83726;16/07/2009;0000;1.666667;
83726;17/07/2009;0000;1;
83726;18/07/2009;0000;0.666667;
83726;19/07/2009;0000;2;
83726;20/07/2009;0000;1;
83726;21/07/2009;0000;1;
83726;22/07/2009;0000;2.666667;
83726;23/07/2009;0000;0.666667;
83726;24/07/2009;0000;0;
83726;25/07/2009;0000;0.666667;
83726;26/07/2009;0000;0.333333;
83726;27/07/2009;0000;0.666667;
83726;28/07/2009;0000;1.666667;
83726;29/07/2009;0000;0;
83726;30/07/2009;0000;0.666667;
83726;31/07/2009;0000;0.666667;
83726;01/08/2009;0000;1;
83726;02/08/2009;0000;1;
83726;03/08/2009;0000;1;
83726;04/08/2009;0000;1;
83726;05/08/2009;0000;2.333333;
83726;06/08/2009;0000;1.666667;
83726;07/08/2009;0000;1;
83726;08/08/2009;0000;1.666667;
83726;09/08/2009;0000;2;
83726;10/08/2009;0000;1.333333;
83726;11/08/2009;0000;3.666667;
83726;12/08/2009;0000;1.333333;
83726;13/08/2009;0000;1.666667;
83726;14/08/2009;0000;0.666667;
83726;15/08/2009;0000;1.666667;
83726;16/08/2009;0000;2;
83726;17/08/2009;0000;1.333333;
83726;18/08/2009;0000;1;
83726;19/08/2009;0000;1.333333;
83726;20/08/2009;0000;0.333333;
83726;21/08/2009;0000;2;
83726;22/08/2009;0000;1.333333;
83726;23/08/2009;0000;1.333333;
83726;24/08/2009;0000;1;
83726;25/08/2009;0000;3;
83726;26/08/2009;0000;1.333333;
83726;27/08/2009;0000;1.666667;
83726;28/08/2009;0000;1;
83726;29/08/2009;0000;1.666667;
83726;30/08/2009;0000;2.333333;
83726;31/08/2009;0000;1.333333;
83726;01/09/2009;0000;1;
83726;02/09/2009;0000;0.666667;
83726;03/09/2009;0000;1.333333;
83726;04/09/2009;0000;0.333333;
83726;05/09/2009;0000;1;
83726;06/09/2009;0000;0.666667;
83726;07/09/2009;0000;1.333333;
83726;08/09/2009;0000;1.666667;
83726;09/09/2009;0000;2;
83726;10/09/2009;0000;1.333333;
83726;11/09/2009;0000;1.333333;
83726;12/09/2009;0000;1;
83726;13/09/2009;0000;0.333333;
83726;14/09/2009;0000;2.333333;
83726;15/09/2009;0000;1.666667;
83726;16/09/2009;0000;1;
83726;17/09/2009;0000;1;
83726;18/09/2009;0000;2;
83726;19/09/2009;0000;1;
83726;20/09/2009;0000;1;
83726;21/09/2009;0000;2.333333;
83726;22/09/2009;0000;1;
83726;23/09/2009;0000;0.333333;
83726;24/09/2009;0000;2;
83726;25/09/2009;0000;1.333333;
83726;26/09/2009;0000;2.333333;
83726;27/09/2009;0000;1.333333;
83726;28/09/2009;0000;2.333333;
83726;29/09/2009;0000;1;
83726;30/09/2009;0000;3;
83726;01/10/2009;0000;0.666667;
83726;02/10/2009;0000;0.666667;
83726;03/10/2009;0000;2.333333;
83726;04/10/2009;0000;0.666667;
83726;05/10/2009;0000;1.333333;
83726;06/10/2009;0000;2.666667;
83726;07/10/2009;0000;2.333333;
83726;08/10/2009;0000;3;
83726;09/10/2009;0000;3;
83726;10/10/2009;0000;2.333333;
83726;11/10/2009;0000;2.333333;
83726;12/10/2009;0000;1.666667;
83726;13/10/2009;0000;1;
83726;14/10/2009;0000;1.666667;
83726;15/10/2009;0000;1.666667;
83726;16/10/2009;0000;1;
83726;17/10/2009;0000;2.333333;
83726;18/10/2009;0000;1;
83726;19/10/2009;0000;2.333333;
83726;20/10/2009;0000;0.333333;
83726;21/10/2009;0000;0.333333;
83726;22/10/2009;0000;0.333333;
83726;23/10/2009;0000;0.666667;
